periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202403,KOTA ADM. JAKARTA BARAT,Cengkareng,1633.31,1366,44.06
202403,KOTA ADM. JAKARTA SELATAN,Jagakarsa,2872.6,2856,92.13
202403,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,507.11,479,15.45
202403,KOTA ADM. JAKARTA SELATAN,Pancoran,346.46,302,9.74
202403,KOTA ADM. JAKARTA SELATAN,Tebet,491.84,481,15.52
202403,KOTA ADM. JAKARTA SELATAN,Setiabudi,419.14,410.7,13.25
202403,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,372.56,338,10.9
202403,KOTA ADM. JAKARTA SELATAN,Cilandak,558.06,451,14.55
202403,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,641.02,637,20.55
202403,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,467.42,464,14.97
202403,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,655.86,652,21.03
202403,KOTA ADM. JAKARTA TIMUR,Ciracas,351.68,336,10.84
202403,KOTA ADM. JAKARTA TIMUR,Cipayung,281.28,199,6.42
202403,KOTA ADM. JAKARTA TIMUR,Makasar,503.12,348,11.23
202403,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,902.08,896,28.9
202403,KOTA ADM. JAKARTA TIMUR,Kramat Jati,856.82,766,24.71
202403,KOTA ADM. JAKARTA TIMUR,Jatinegara,672.86,583,18.81
202403,KOTA ADM. JAKARTA TIMUR,Matraman,496.77,490,15.81
202403,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1183.72,388,12.52
202403,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,870.39,747,24.1
202403,KOTA ADM. JAKARTA TIMUR,Cakung,1226.25,1113,35.9
202404,KOTA ADM. JAKARTA PUSAT,Tanah Abang,901.39,786,26.2
202404,KOTA ADM. JAKARTA PUSAT,Kemayoran,982.22,981,32.7
202404,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,479.98,479,15.97
202404,KOTA ADM. JAKARTA PUSAT,Johar Baru,642.68,642,21.4
202404,KOTA ADM. JAKARTA PUSAT,Senen,556.1,554,18.47
202404,KOTA ADM. JAKARTA PUSAT,Sawah Besar,618.89,618,20.6
202404,KOTA ADM. JAKARTA PUSAT,Menteng,615.97,612,20.4
202404,KOTA ADM. JAKARTA PUSAT,Gambir,614.21,612,20.4
202404,KOTA ADM. JAKARTA UTARA,Cilincing,761.68,692,23.07
202404,KOTA ADM. JAKARTA UTARA,Kelapa Gading,407.26,400,13.33
202404,KOTA ADM. JAKARTA UTARA,Koja,702.03,681,22.7
202404,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1235.8,1222,40.73
202404,KOTA ADM. JAKARTA UTARA,Pademangan,654.76,640,21.33
202404,KOTA ADM. JAKARTA UTARA,Penjaringan,1872.33,1848,61.6
202404,KOTA ADM. JAKARTA BARAT,Kembangan,1439.56,1372,45.73
202404,KOTA ADM. JAKARTA BARAT,Palmerah,924.64,875,29.17
202404,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1319.26,1314,43.8
202404,KOTA ADM. JAKARTA BARAT,Tambora,972.67,950,31.67
202404,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,954.11,744,24.8
202404,KOTA ADM. JAKARTA BARAT,Tamansari,762.97,725,24.17
202404,KOTA ADM. JAKARTA BARAT,Kalideres,1139.89,989,32.97
202404,KOTA ADM. JAKARTA BARAT,Cengkareng,1767.61,1471,49.03
202404,KOTA ADM. JAKARTA SELATAN,Jagakarsa,2698.7,2686,89.53
202404,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,561.45,502,16.73
202404,KOTA ADM. JAKARTA SELATAN,Pancoran,379.23,351,11.7
202404,KOTA ADM. JAKARTA SELATAN,Tebet,627.87,616,20.53
202404,KOTA ADM. JAKARTA SELATAN,Setiabudi,434.33,427.2,14.24
202404,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,675.26,641,21.37
202404,KOTA ADM. JAKARTA SELATAN,Cilandak,679.64,578,19.27
202404,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,701.13,697,23.23
202404,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,533.87,530,17.67
202404,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,824.31,820,27.33
202404,KOTA ADM. JAKARTA TIMUR,Ciracas,393.8,384,12.8
202404,KOTA ADM. JAKARTA TIMUR,Cipayung,334.49,275,9.17
202404,KOTA ADM. JAKARTA TIMUR,Makasar,777.2,475,15.83
202404,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,899.7,888,29.6
202404,KOTA ADM. JAKARTA TIMUR,Kramat Jati,862.32,836,27.87
202404,KOTA ADM. JAKARTA TIMUR,Jatinegara,609.34,485,16.17
202404,KOTA ADM. JAKARTA TIMUR,Matraman,423.07,418,13.93
202404,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1253.71,473,15.77
202404,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,715.67,710,23.67
202404,KOTA ADM. JAKARTA TIMUR,Cakung,1670.07,1606,53.53
202405,KOTA ADM. JAKARTA PUSAT,Tanah Abang,736.67,647,20.87
202405,KOTA ADM. JAKARTA PUSAT,Kemayoran,1021.25,1020,32.9
202405,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,495.72,495,15.97
202405,KOTA ADM. JAKARTA PUSAT,Johar Baru,716.82,716,23.1
